직업코드,대분류,중분류,소분류,직무개요,수행직무,임금정보,직업만족도,일자리전망,직업명,직업가치,지식,업무환경,성격,흥미,가치관,업무수행능력,직무기술
K000000847,경영·사무·금융·보험직,의회의원·고위공무원 및 기업 고위임원,기업고위임원,"기업의 기본적인 경영방침과 사업목표를 계획하고, 사업목표를 달성하기 위한 체계적인 전략과 정책을 수립하며 이를 지휘하고 조정한다.","기업고위임원에게 특별히 요구되는 학력, 자격은 없지만 일반적으로 대학 이상의 학력 소지자가 대부분이고 사업체의 성격에 따라 해당 분야의 석사 또는 박사학위, 기술사 또는 기타 전문자격증이나 면허가 요구되기도 한다. 기업고위임원은 기업의 소유자(대주주)이거나 기업의 사원으로 입사하여 진급할 수도 있고, 해당 분야의 전문가로 능력을 인정받아 기업에 스카우트될 수도 있다. 기업고위임원이 되기 위해서는 해당 분야에 대한 충분한 실무경험과 지식을 갖추어야 한다. 소속되어 있는 기업 관련 전문지식은 물론이고 비즈니스능력, 의사결정능력, 정보 수집능력, 리더십, 협상능력 등을 갖추고 있어야 한다. 또한, 외국 진출을 모색하는 기업이 증가함에 따라 외국어 능력도 갖춰야 한다. 관련 교육으로는 기업에서 자체 프로그램을 운영하여 최고경영층과 부서관리자의 교육 훈련을 수행하고 있으며, 대학교, 관련 협회 등과 같은 외부기관에서 ‘최고경영자과정(AMP：Advanced management Program)’과 같은 교육프로그램을 운영하고 있다.","조사년도:2023년, 임금 하위(25%) 7350만원, 평균(50%) 10000만원, 상위(25%) 16000만원",77,증가(19%) 현상유지(44%) 감소(36%),기업고위임원,조직체계의 분석 및 평가(100)/인적자원 관리(100)/재정 관리(99)/판단과 의사결정(98)/모니터링(Monitoring)(98),경제와 회계(94)/인사(93)/경영 및 행정(91)/영업과 마케팅(89)/컴퓨터와 전자공학(81),의사결정 가능성(99)/의사결정 권한(98)/결과에 대한 책임(97)/재택근무(96)/건강 및 안전에 대한 책임(95),리더십(81)/혁신(77)/자기통제(72)/적응성/융통성(72)/신뢰성(70),진취형(Enterprising)(92)/탐구형(Investigative)(73),인정(96)/경제적 보상(94)/타인에 대한 영향(92)/성취(87)/자율(86),"사람들의 업무와 활동을 조직, 편성(100)/협상, 갈등 해결(100)/상사, 동료, 부하직원과 소통(100)/업무 계획, 우선순위 결정(100)/목표, 전략 수립(100)","사람들의 업무와 활동을 조직, 편성(100)/업무 계획, 우선순위 결정(100)/자원 관리(100)/인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)"
K000000933,경영·사무·금융·보험직,의회의원·고위공무원 및 기업 고위임원,행정부고위공무원,"정부의 정책을 결정하고 예산 및 법령안을 작성, 수정하며 외국에서 국가를 대표·대리한다.","행정부고위공무원이 되기 위한 방법으로는 공무원 공개채용시험에 합격하여 승진경로를 밟거나 특별채용되는 방법이 있다. 공무원의 채용은 공개채용을 원칙으로 하되 공개채용시험에 의한 충원이 곤란한 분야에 한해 제한적으로 특별채용시험으로 뽑고 있다. 시험응시는 학력 및 경력의 제한이 없으나 지방직의 응시자격은 지역거주자로 제한하고 있다.
공무원이 되기 위한 특별한 교육과정은 없으며 보통 사설학원을 다니거나 독학으로 시험을 준비한다. 시험에 합격하면 합격자가 채용 후보자 명부에 등록을 해야 하며, 시험실시기관에서는 각급 기관에 결원이 생길 때마다 시험성적, 훈련성적, 적성 등을 참작하여 임용을 추천하게 되며 이들의 승급 및 승진은 국가공무원법에 의해 이루어진다.","조사년도:2023년, 임금 하위(25%) 8000만원, 평균(50%) 9600만원, 상위(25%) 10025만원",79.2,증가(6%) 현상유지(59%) 감소(33%),행정부고위공무원,인적자원 관리(100)/듣고 이해하기(99)/협상(99)/글쓰기(99)/말하기(99),경영 및 행정(90)/인사(82)/법(82)/사회와 인류(81)/사무(76),이미지/평판/재정에 미치는 영향력(98)/의사결정 권한(98)/결과에 대한 책임(97)/이미지/평판/재정에 미치는 강도(96)/의사결정 가능성(96),리더십(79)/책임과 진취성(70)/정직성(68)/타인에 대한 배려(67)/신뢰성(66),사회형(Social)(97)/탐구형(Investigative)(87),애국(99)/성취(98)/타인에 대한 영향(98)/다양성(96)/인정(94),"인사 업무(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/행정, 관리 업무(100)/의사 결정, 문제점 해결(99)/업무, 활동에 대한 일정관리(99)","사람들을 훈련, 교육(100)/협상, 갈등 해결(100)/사람들의 업무와 활동을 조직, 편성(100)/상사, 동료, 부하직원과 소통(100)/업무 계획, 우선순위 결정(100)"
K000000919,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,마케팅·광고·홍보관리자,"기업체 혹은 단체의 광고 및 대외 홍보활동을 기획, 지휘, 조정한다.","기획·홍보 및 광고관리 분야는 신문방송학, 언론정보학, 광고(홍보)학, 매스컴학을 비롯해 경영학, 심리학, 사회학 계열 전공자들이 많이 활동하고 있다. 대학의 관련 학과에서는 대중매체를 통해 소비자 등을 설득하는 데 필요한 이론과 기술을 가르치고, 커뮤니케이션 광고, 마케팅, 설득, 광고, 홍보캠페인 분야의 실제적인 지식을 교육한다. 그러나 광고회사의 신입사원 채용 시 전공에 특별한 제한이 없으므로 비전공자들도 다양한 방법들을 통해 관련 지식을 쌓아 진출할 수 있다. 대학 시절 광고동아리 활동을 하거나 사설 광고학원을 통해 관련 지식과 경험을 쌓을 수 있으며 광고회사에서 실시하는 인턴 제도에 참여해 실무 경험을 쌓기도 한다. 또한, 주요 광고사에서 실시하는 공모전에 응모해 입상을 하면 취업 시 도움이 된다.","조사년도:2023년, 임금 하위(25%) 5538만원, 평균(50%) 8000만원, 상위(25%) 10000만원",70.8,증가(16%) 현상유지(46%) 감소(36%),마케팅·광고·홍보관리자,협상(95)/창의력(93)/설득(92)/글쓰기(89)/사람 파악(86),영업과 마케팅(92)/경영 및 행정(85)/사무(84)/디자인(84)/경제와 회계(81),"결과에 대한 책임(93)/다른 사람들을 조율하거나 이끌기(92)/연설, 발표, 회의하기(92)/재택근무(91)/의사결정 권한(90)",혁신(79)/협조(76)/분석적 사고(75)/리더십(73)/사회성(72),진취형(Enterprising)(89)/사회형(Social)(62),다양성(91)/신체활동(82)/타인에 대한 영향(81)/지적 추구(71)/자율(62),"부하 직원들에게 업무 안내, 지시, 동기부여(90)/창조적 생각(87)/업무, 활동에 대한 일정관리(86)/목표, 전략 수립(85)/사물, 서비스, 사람의 질 판단(85)","목표, 전략 수립(90)/정보 수집(88)/부하 직원들에게 업무 안내, 지시, 동기부여(87)/창조적 생각(87)/인사 업무(84)"
K000001059,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,경영지원관리자,"행정 및 경영지원 업무를 기획, 지휘 및 조정하는 업무를 수행한다.","주로 경영지원, 일반행정 관련 부서의 사무원으로 일하다가 경력을 쌓아 승진해서 관리자가 되는 경우가 많다. 주요 관련학과로는 경제학과, 경영학과, 무역학과, 회계학과, 행정학과, 비서행정학과 등이 있으며, 관리자의 역량을 키우기 위한 관리자 교육을 별도 받기도 한다.","조사년도:2023년, 임금 하위(25%) 6000만원, 평균(50%) 7650만원, 상위(25%) 10000만원",73.2,증가(13%) 현상유지(41%) 감소(46%),경영지원관리자,재정 관리(99)/협상(95)/인적자원 관리(94)/판단과 의사결정(92)/설득(89),인사(93)/경영 및 행정(91)/경제와 회계(90)/사무(85)/법(83),재택근무(96)/이미지/평판/재정에 미치는 강도(94)/갈등 상황(94)/결과에 대한 책임(92)/전화 대화하기(91),정직성(78)/리더십(77)/자기통제(74)/협조(69)/분석적 사고(68),진취형(Enterprising)(86)/사회형(Social)(63),타인에 대한 영향(89)/자율(87)/인정(87)/신체활동(83)/경제적 보상(77),"자원 관리(100)/인사 업무(100)/사람들에게 조언, 상담(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/사람들의 업무와 활동을 조직, 편성(98)","자원 관리(100)/인사 업무(100)/사람들의 능력 개발, 지도(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/팀 구성, 협업 촉진(98)"
K000001081,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,정부행정관리자,"고위공무원의 포괄적인 지휘 하에 부처 내 다른 부서 관리자와 의논하여 해당 부서의 행정업무를 기획, 지휘 및 조정하거나, 또한 지방관서 기관장으로서 지방관서의 행정업무를 기획, 지휘 및 조정한다.","정부행정관리자가 되려면 공무원 시험에 합격하거나 특별채용이 되어야 한다. 공무원 시험은 국가공무원 시험과 지방공무원 시험이 있으며 관리자급으로 승격하려면 5급 공무원 채용시험인 행정고등고시를 통하는 것이 유리하다. 공무원 시험을 위한 정규 교육과정이나 훈련은 없으며 보통 사설학원을 다니거나 독학으로 준비한다. 공무원 시험 과목과 관련이 있는 행정학, 법학, 경영학, 경제학 등의 전공을 하면 유리하며, 세무직은 회계학, 세무학을, 교육행정직은 교육학 등을 전공하면 시험에 도움이 된다. 행정고등고시의 경우 1차 공직적격성시험(PSAT), 2차 논문형 필기시험, 3차 면접을 치르게 된다.","조사년도:2023년, 임금 하위(25%) 6875만원, 평균(50%) 8200만원, 상위(25%) 9850만원",78.3,증가(3%) 현상유지(43%) 감소(53%),정부행정관리자,모니터링(Monitoring)(99)/인적자원 관리(98)/문제 해결(98)/논리적 분석(96)/범주화(96),경영 및 행정(89)/인사(87)/사무(83)/경제와 회계(82)/법(79),"결과에 대한 책임(97)/건강 및 안전에 대한 책임(95)/자동화 정도(95)/이미지/평판/재정에 미치는 강도(93)/공문, 문서 주고받기(92)",리더십(75)/적응성/융통성(65)/책임과 진취성(63)/혁신(62)/정직성(62),사회형(Social)(92)/진취형(Enterprising)(85),자율(97)/애국(96)/타인에 대한 영향(95)/고용안정(94)/경제적 보상(92),"사람들의 업무와 활동을 조직, 편성(99)/업무 계획, 우선순위 결정(99)/목표, 전략 수립(99)/인사 업무(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)","목표, 전략 수립(100)/부하 직원들에게 업무 안내, 지시, 동기부여(100)/팀 구성, 협업 촉진(99)/사람들의 업무와 활동을 조직, 편성(99)/업무 계획, 우선순위 결정(99)"
K000001210,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,금융관리자,"보험, 금융업체 및 기타 사업체의 운영부서나 신용부서의 활동을 기획, 지휘 및 조정한다.","금융관리자는 해당 분야 대학졸업 이상의 학력과 실무자로서의 충분한 업무 경력이 있어야 한다. 금융관리자의 경우 거의 80%가 경영/경제, 사회과학, 법률전공자들이다. 이들은 대부분 사원으로 입사하여 경험과 기술을 습득하고 승진을 통해 관리자가 되는데, 승진기간은 업체 또는 개인능력에 따라 다양하지만 사원으로 입사하여 부장으로 승진하는 데 통상 20여 년이 소요된다. 요즘은 연공서열보다는 능력중심의 인사제도로 바뀌고 있어 30대 이사가 등장하기도 한다.","조사년도:2023년, 임금 하위(25%) 7475만원, 평균(50%) 10000만원, 상위(25%) 12250만원",76,증가(20%) 현상유지(23%) 감소(55%),금융관리자,판단과 의사결정(98)/설득(98)/협상(98)/인적자원 관리(97)/시간 관리(97),경제와 회계(95)/경영 및 행정(90)/인사(87)/사무(85)/법(79),의사결정 가능성(97)/재택근무(97)/치열한 경쟁(97)/의사결정 권한(95)/결과에 대한 책임(95),리더십(78)/자기통제(77)/신뢰성(76)/분석적 사고(73)/사회성(73),진취형(Enterprising)(94)/사회형(Social)(76),경제적 보상(94)/이타(92)/고용안정(92)/인정(87)/심신의 안녕(87),"인사 업무(100)/팀 구성, 협업 촉진(99)/사람들의 업무와 활동을 조직, 편성(99)/협상, 갈등 해결(99)/대인관계 유지(99)","인사 업무(98)/상사, 동료, 부하직원과 소통(97)/업무, 활동에 대한 일정관리(97)/팀 구성, 협업 촉진(96)/사람들의 업무와 활동을 조직, 편성(96)"
K000007471,경영·사무·금융·보험직,행정·경영·금융·보험 관리자　,보험관리자,"회사의 보험정책에 따라 보험인수 시 위험정도 평가와 청약서 검토를 통해 청약을 수락·거절하며, 보험금지급 계획을 수립하고 종업원들을 지휘·감독한다.","보험관리자는 보험분야에서의 근무경험을 토대로 팀장, 영업소장, 국장(지점장) 등으로 승진하여 관리자가 된다. 목표달성 시에는 다양한 경품이나 인센티브를 제공받으며 인사와 교육업무를 수행한다.    관련 학과로는 상업계 고등학교 금융정보과, 전문대학 및 대학교의 보험학과, 금융학과, 보험금융학과 등이 있다. 관련 자격으로는 국가자격으로는 금융감독원에서 주관하는 보험중개사(생명보험, 손해보험, 제3보험), 생명보험협회에서 주관하는 보험설계사, 변액보험판매자 등이 있다.","조사년도:2023년, 임금 하위(25%) 5375만원, 평균(50%) 7000만원, 상위(25%) 9250만원",73.3,증가(7%) 현상유지(13%) 감소(80%),보험관리자,인적자원 관리(99)/설득(99)/협상(99)/서비스 지향(98)/모니터링(Monitoring)(98),영업과 마케팅(92)/경제와 회계(92)/경영 및 행정(87)/사무(85)/인사(85),"치열한 경쟁(100)/재택근무(98)/연설, 발표, 회의하기(96)/결과에 대한 책임(96)/외부 고객 대하기(94)",리더십(80)/사회성(75)/신뢰성(74)/성취/노력(72)/자기통제(71),진취형(Enterprising)(85)/사회형(Social)(83),성취(91)/자율(83)/타인에 대한 영향(83)/경제적 보상(82)/인정(82),"사람들의 업무와 활동을 조직, 편성(100)/자원 관리(99)/인사 업무(99)/부하 직원들에게 업무 안내, 지시, 동기부여(99)/사람들에게 영향력 행사(99)","인사 업무(99)/사람들에게 영향력 행사(99)/사람들의 업무와 활동을 조직, 편성(98)/대인관계 유지(98)/자원 관리(98)"
K000000833,경영·사무·금융·보험직,전문서비스 관리자,사회복지관리자,사회복지시설의 인사 및 재정 전반을 관리·감독하고 시설수용자의 보호업무를 수행한다.,"사회복지관련관리자가 되기 위해서는 일반적으로 사회복지사 자격증을 취득해야 한다. 보통 전문대학 및 대학교, 대학원에서 사회복지학 및 사회복지관련학을 전공하면 사회복지사 2급 자격을 취득하게 되고 졸업 후 국가시험에 합격하면 1급 사회복지사를 취득할 수 있다. 대학에서 사회복지학을 전공하면 사회복지의 기초이론과 방법론 및 각 분야를 전반적으로 학습하게 되기 때문에 향후 업무수행을 하는 데 많은 도움이 된다. 구체적으로 사회복지개론, 사회복지실천방법론, 노인복지론, 아동복지론, 장애인복지론, 가족복지론 등의 과목이 포함되며 학기 중이나 방학 중에 사회복지 현장실습도 하게 된다.    보건복지부에서 시행하는 사회복지사 1, 2, 3급이 있다. 사회복지사 1급 국가시험은 대학에서 관련 법령이 정하는 사회복지학 전공 및 관련 교과목을 이수한 학사학위 취득자나 대학원에서 사회복지학이나 사회사업학을 전공한 석사 또는 박사 학위 취득자 등이 응시하여 합격하면 취득할 수 있다. 사회복지사 2급은 대학 및 전문대학에서 사회복지학관련 교과목을 이수하고 졸업한 자, 사회복지사 3급 자격증 소지자로 3년 이상 사회복지사업의 실무 경험이 있는 자 등이 자격을 취득할 수 있다. 사회복지사 3급은 전문대학 졸업자로 보건복지부장관이 지정한 교육훈련기관에서 12주 이상 사회복지사업에 관한 교육훈련을 이수한 자, 고등학교 졸업자로 교육훈련기관에서 24주 이상 사회복지사업에 관한 교육훈련을 이수한 자 등이 자격을 취득할 수 있다. 그리고 정신보건의료 영역에서 근무하는 사회복지사의 경우 정신보건사회복지사 자격증이 별도로 존재한다. 일반적으로 사회복지사 1급 자격소지자로 보건복지부장관이 지정한 전문요원 수련기관에서 1년 이상의 수련을 마치고 자격시험에 통과하면 정신보건사회복지사 2급을 취득할 수 있다. 또한 사회복지학 또는 사회사업학을 전공한 석사학위 이상 소지자로 전문요원 수련기관에서 3년 이상의 수련을 마치면 1급 자격을 취득할 수 있다.     입직경로 및 진출분야는 주로 사회복지관, 노인복지관, 장애인복지관, 지역아동센터 등과 같은 사회복지이용시설이나 장애인재활시설, 아동양육시설, 모·부자복지시설, 노인요양시설 등이 있다. 또 정신보건사회복지사는 요양시설, 종합병원 및 정신병원 등의 의료기관으로 진출한다.","조사년도:2023년, 임금 하위(25%) 3750만원, 평균(50%) 4200만원, 상위(25%) 5350만원",72.8,증가(44%) 현상유지(43%) 감소(13%),사회복지관리자,모니터링(Monitoring)(95)/인적자원 관리(94)/설득(94)/재정 관리(94)/서비스 지향(94),경영 및 행정(90)/상담(90)/사회와 인류(88)/심리(88)/인사(87),불쾌하거나 무례한 사람 상대(93)/의사결정 가능성(92)/갈등 상황(89)/의사결정 권한(87)/질병 혹은 감염 위험 노출(84),리더십(78)/타인에 대한 배려(73)/사회성(72)/정직성(71)/협조(70),사회형(Social)(94)/진취형(Enterprising)(36),이타(97)/애국(77)/성취(68)/타인에 대한 영향(67)/고용안정(60),"사람들을 배려, 돌봄(100)/인사 업무(99)/자원 관리(99)/부하 직원들에게 업무 안내, 지시, 동기부여(98)/대인관계 유지(98)","인사 업무(99)/사람들을 배려, 돌봄(99)/부하 직원들에게 업무 안내, 지시, 동기부여(98)/자원 관리(97)/사람들을 훈련, 교육(97)"
K000000838,경영·사무·금융·보험직,전문서비스 관리자,초등학교 교장 및 교감,"사립 또는 공립 초등학교에서 교육, 행정 및 기타 운영활동을 관리·감독한다.","초등학교의 교감이 되기 위해서는 초등학교 정교사(1급) 혹은 보건교사(1급) 자격증을 가지고 3년 이상의 교육경력과 일정한 재교육을 받거나 초등학교 정교사(2급) 자격증 또흔 보건교사(2급) 자격증을 가지고 6년 이상의 교육경력과 일정한 재교육을 받거나 특수학교의 교감 자격증을 가지고 있어야 한다.
초등학교의 교장이 되려면 교감 자격증과 3년 이상의 교육경력과 일정한 재교육을 받거나 학식과 덕망이 높은 사람으로서 대통령령으로 정하는 기준에 해당한다는 인정을 교육부장관으로부터 받아야 한다.
초등학교의 교사는 많고 교감과 교장의 수는 적어 교감과 교장이 되기 위해서는 상기의 최소 조건을 충족시키는 것은 물론이고 교육경험과 근무평정에서 높은 점수를 받아야 교육관리자가 될 수 있다.","조사년도:2023년, 임금 하위(25%) 6225만원, 평균(50%) 7000만원, 상위(25%) 7850만원",78.6,증가(0%) 현상유지(16%) 감소(83%),초등학교 교장 및 교감,가르치기(98)/학습전략(97)/인적자원 관리(94)/사람 파악(90)/판단과 의사결정(86),경영 및 행정(86)/사무(76)/역사(75)/철학과 신학(67)/인사(67),의사결정 가능성(99)/의사결정 권한(96)/자동화 정도(95)/건강 및 안전에 대한 책임(94)/재택근무(91),리더십(74)/사회성(65)/책임과 진취성(62)/정직성(60)/혁신(58),사회형(Social)(87)/진취형(Enterprising)(81),심신의 안녕(100)/인정(97)/타인에 대한 영향(96)/자율(96)/이타(95),"인사 업무(100)/사람들을 훈련, 교육(99)/부하 직원들에게 업무 안내, 지시, 동기부여(98)/상사, 동료, 부하직원과 소통(97)/자원 관리(97)","인사 업무(100)/사람들을 훈련, 교육(98)/부하 직원들에게 업무 안내, 지시, 동기부여(97)/자원 관리(96)/사람들에게 조언, 상담(96)"
K000000910,경영·사무·금융·보험직,전문서비스 관리자,경찰·소방·교도관리자,"경찰, 소방, 교도 관련 공공서비스를 제공하는 사업체나 공공기관의 운영을 기획, 지휘 및 조정한다. 직원들의 면접, 고용 및 훈련을 담당한다.","·경찰관리자가 되기 위한 방법으로 경찰간부후보생이 되는 방법과 경찰대학에 입학하는 방법이 있다. 먼저 경찰간부후보생의 경우는 경찰간부후보생시험에 합격하여 경찰종합학교에서 1년간 소정의 교육을 이수하면 된다. 그리고 경찰대학에 입학하는 경우는 4년간 교육을 이수하여 경위로 임관되어 경찰관으로 근무할 수 있다. 비정기적으로 경찰관리자를 특별채용하는 경우도 있다.
· 소방관리자가 되기 위해서는 소방직공무원 공개채용시험을 통해 소방관이 되거나 소방간부후보생 선발시험에 합격해야 한다. 또한 반드시 대학교의 소방관리학과 등을 전공할 필요는 없지만 대학에서 전공을 하게 되면 채용시험에 응시할 기회가 있고 소방관련 학문을 체계적으로 배울 수 있다는 장점이 있다. 소방간부후보생시험은 소방방재청 주관으로 2년마다 실시되며 응시연령과 신체기준은 일반소방공무원과 같고 시험과목은 계열별로 차이가 있다. 합격하면 중앙소방학교에서 1년간 어학, 소양과목, 전문과목의 교육을 받은 후 초급간부인 소방위(6급상당)로 임관하며 소방파출소장, 119구조대장으로 근무하게 된다.
· 교도관리자가 되기 위한 방법으로는 국가직 공무원 채용시험과 특별채용시험을 통하여 교도관으로 임용되어야 한다. 응시에 필요한 학력 및 경력 제한은 없으나 국가공무원법에 따른 결격사유가 있어서는 안 된다. 신체조건에 있어서 남자의 경우 신장이 165cm 이상(여자는 154cm 이상)이어야 하는 등 신장, 체중, 흉위, 시력, 색신 등에 제한이 있다. 시험과목은 7급 교정직(교정)의 경우 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 형사소송법, 행정법)을 치르면 되고 9급 교정직(교정)의 경우 필수 5과목(국어, 영어, 한국사, 교정학개론, 형사소송법개론)을 치르면 된다. 이밖에 7급 교정직(교회)은 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 교육학, 심리학)을 치르게 되고, 7급 교정직(분류)은 필수 7과목(국어, 영어, 한국사, 헌법, 교정학, 심리학, 사회학)을 치르게 된다. 이 외에 취업보호대상자 및 취업지원대상자, 워드프로세서 및 컴퓨터 활용능력 1~3급 자격증 소지자, 국가기술자격증(기술사, 기사, 산업기사, 기능사)중 사무관리 및 통신정보처리분야 자격증 소지자, 변호사, 법무사 자격증 소지자에 대해 가산점을 부여하고 있다.","조사년도:2023년, 임금 하위(25%) 4488만원, 평균(50%) 5500만원, 상위(25%) 6500만원",72,증가(24%) 현상유지(63%) 감소(13%),경찰·소방·교도관리자,조직체계의 분석 및 평가(98)/사람 파악(94)/추리력(89)/판단과 의사결정(87)/청력(84),법(87)/안전과 보안(82)/상담(76)/통신(75)/인사(74),"공문, 문서 주고받기(87)/의사결정 가능성(85)/건강 및 안전에 대한 책임(84)/비좁은 업무 공간(83)/연설, 발표, 회의하기(82)",리더십(72)/정직성(66)/자기통제(64)/책임과 진취성(63)/사회성(61),사회형(Social)(87)/진취형(Enterprising)(68),애국(98)/이타(90)/타인에 대한 영향(88)/고용안정(85)/인정(83),"부하 직원들에게 업무 안내, 지시, 동기부여(97)/사람들을 훈련, 교육(96)/협상, 갈등 해결(93)/상사, 동료, 부하직원과 소통(90)/행정, 관리 업무(90)","사람들을 훈련, 교육(97)/부하 직원들에게 업무 안내, 지시, 동기부여(97)/협상, 갈등 해결(95)/행정, 관리 업무(93)/인사 업무(93)"
